,comments,sentiment
184982,"It was my first time reserving with Airbnb and actually I enjoyed the experience a lot. The Apartment is a sweet functional place. I had everything I needed  perfect for a short stay. Boima´s apartment was  really  clean  relaxed and cute . The beach is about 10 min walk from there. Boima  was  a carrying host,  he  gave all the information  I needed before and during my stay. So I would definitely recommend this apartment if you're planning to stay in  Barra  da Tijuca Rio.",1
246019,Great location for our quick one-night stay in Rio. Close to the beach and restaurants. There are two pull-out couches (big enough for a couple on each) and a separate bedroom. Deisy was very lovely and hospitable and made everything very easy for us. Thank you!,1
5988,Adriano's place is great. Great price for such a central location in Ipanema. His house is so clean and beautifully decorated. The room is simple and really all that you need.,1
51726,"Apartment was great. Fully equipped,  comfortable and spacious. We didn't get to see Diogo, but he was available through (Hidden by Airbnb) with fast responses. 

Only downside was a giant construction site right besides the building that worked 24/7. Lots of noise and it was hard to sleep without earplugs. ",1
88141,"Nice location, clean and compact place. Melina was reachable for any questions and immediately responded. The supervisor on site was also very helpful when we had some issues with hot water in one of the bathrooms. He even arranged a taxi for us at 4 AM. ",1
261066,"Good host, quick responses, and neat apartment. Definitely worth the money charged.",1
201056,"The apartment is great !! It's clean, big (3 rooms and 3 bathrooms), safe and the view is awesome !!
The place is very good as well as it's very well located. 

Henrique was a great host, answering very quickly and being available for us. 

Thanks for all Henrique !!",1
148923,"Santuzza’s flat is an absolute must stay. An incredible terrace spans the outter width of the entire apartment, with the most amazing ocean views. You’re a block from the beach, as well as close to some of the best restaurants and shops in the area. I HIGHLY reccomend staying here. Not to mention, you have access to an apartment cleaning service everyday at no additional cost.",1
93634,"Giorgio was very welcome and left us loads of information on what to do, where to go, how to get around and advice on the local area. The apartment was excellent, very clean and quiet, also very safe, with 24hr security staff. There is a rooftop cafe and pool which was lovely as well as a gym and computer lounge. 
Lapa is a wonderful area with many restaurants and bars and is easy to get around  with good transport links and is easy to get to all the main attractions",1
87698,"I live in Rio and had to stay out of mu apartment for some time when I found Rina's apartment. It couldn't be more perfect for my needs.

It's extremelly well located. A 10 min walking distance from the Bothanic Garden Park, and 5 min car distance to Leblon and Jardim Botanico neighborhoods. 

You have also an easy way going to Rio's downtown as well as to Barra da Tijuca wich are the old and the new areas of the city.

The apartmemt itself is wonderfull. Very nicelly decorated, and with great quality stuff all over. From towels to glasses and plates, from the washing machine  to the shower. All very well done.

Its been such a pleasure that my two weeks rent became one month and a half. And I felt all of the time like home. 

I deeplu recomend it!!!",1
170797,Rodrigo's apt is very well located. Close to the beach and close to restaurants and shops. Very much worth the stay. ,1
245188,"A perfect place to be when you are visiting Rio. Hope to come back, for sure, I will repeat.",1
123746,"Great location inbetween Copacabana beach and Ipanema beach. Very close to metro and bus. Doorman as well to make sure all is safe. Soraya is a great host, very attentive and replies extremely quickly. Flat is cosy and has everything you need, love the hammock.",1
157994,"Raphael's place is in a perfect location, extremely close to shops and restaurants and a 2 minute walk to the beach. The home is spacious and modern. Lovely open windows and clean facilities. Would definitely recommend!",1
5618,"Me and Victoria spent one week at Ylza's place. The flat is beautiful and pictures reveal exactly how the flat is. The place is very close to Copacabana beach (2 min walking) and full of restaurants, bars, markets, etc. Our bedroom was pretty comfortable, with a big and nice bed. Bathroom was a little bit small, but it was always clean and very well equipped. Living room was big, with 2 nice couches, great illumination and good music. 
Ylza lives with Vranca and Blu (cat and dog, respectively). Both animals are well domesticated and they were always friendly with us. 
We encourage to you to visit Ylza at Rio.
Best,

Carlos and Victoria",1
256731,"Geórgia was a great and caring host. We communicated with her easily before and after check-in. Her apartment is great fun, all you need for a stay in Rio. Very well located in Flamengo with easy access to buzzing streets of Glória and Lapa, and also to a calming visit to Santa Teresa. I would recommend her place and would definitely stay there again! :-D",1
140851,"Renata was a wonderful host and I am thankful to have had a chance to stay with her. She was very helpful and responsive when I needed anything. The location is next to a lively square, supermarket, restaurants, and close to the subway. I am looking forward to staying with her again in the future.",1
155375,"Amazing place. Great location, great view, great apartment and super nice host! I can only recommend you book it :-)",1
266686,"We were 4 people staying at Vitor's and Carlo's apartment in Copacabana. The flat was BEAUTIFUL! Just one block from Copacabana beach. The area is very alive as you are quite close to a favela but we never felt unsafe. The flat has huge windows in the living area which gives you the uow factor during the day. They have 3 spacious bedrooms which fit 6 adults. The beds, pillows and even the couch were super comfortable. The flat was very stylish and modern, which we loved. They have 3 bathrooms in total and they all look nice. The hot shower was not getting very warm but okay warm. I have reported that to the boys. The communication with them was perfect from the beginning to the end. The check-in went very smooth. I told them they were missing a trash-bin in the small toilet and the promptly fixed that by sending one. The internet was not working very well which has also been reported (not a major issue). My only suggestion is to add two more dining chairs around the table. The flat fits comfortably 6 people and it would be nice to have everyone around the table for a breakfast with a view. I would easily stay in the flat again and I strongly recommend this flat to anyone looking for a place to stay in Rio.",1
265231,"Cleide’s apartment was great. The building is amazing and the rooftop terrace with a pool offered spectacular views of the city. It is literally one block from Ipanema Beach, so location couldn’t be more perfect. The apartment was spacious and worked well for our group. One note that was no fault of anyone is that there were issues with the plumbing in the building basically our whole stay, which didn’t allow us to flush the toilet in our room or use hot water to shower. So those tasks needed to be done in the rooftop public restrooms. But this did not overshadow everything else that was wonderful. We would stay here again when visiting Rio.",1
194438,Great for value and perfect location,1
271232,Nice location nearby everything,1
312815,"The place is quiet, clean and comfortable.
Communication with Katia is easy and fast.
I recommend the stay.",1
53006,"Paulo was prompt in answering our queries, this property is few blocks away from the beach which is a plus. Lot of traffic noise which is non stop. Neighborhood has many restaurants and shops for your daily needs. This property looks more glossier in pictures, but it is not a well maintained property.",1
135536,Isabella is the perfect hostess! All of our needs were catered for - even those we didn't know that we had :) Her breakfast spread is unrivalled in South American hospitality and the room was spotless and super comfortable; we felt so at home. Her apartment is in the perfect location for exploring Rio - walking distance to Copacabana and Ipanema beach and just a couple of blocks from the subway. I hope that we can visit again one day.,1
286432,"Beautiful house, great hosts, awesome location",1
98723,"The house is really next to Copacabana beach (5 min walk) but in a quiet block, well furnished and clean. Amanda is great, she's really kind and professional. We had a problem for truck drivers strike and we arrived 5 hours late in the night, she arranged in the best way for the check in. The tv didn't work (the previous guest has changed the setting) she came to solve the problem. I think is not easy to find a best location and have silence at night in the same time in Rio. I recommend it. Thank you",1
118735,Marco and Neca were extremely helpful and very responsive to our numerous questions. They are really detail oriented and had fresh fruits and juices for our late arrival. The apartment is immaculate and the view onto the Urca morro was surprisingly nice. The location had easy bus transfers and some cute restaurants. We loved our time in Rio and are looking forward to coming back! Thanks for making us feel so welcome Marco and Neca!,1
22871,Nice appartment 2 blocs from the beach. Perfect for 5 persons. Nadson was very helpfull and received us with all the attention.  ,1
100036,"Thank you very much to Gustavo for his warm and perfect welcome. He is always available to solve any question. The apartment is amazing, modern and fully furnished. We had an unforgettable family vacation in Rio. I warmly recommend this appartement for his confort and good situation in Ipanema.",1
121571,"Antonio's place is just amazing: such a nice atmosphere, a really clean flat and a spacious room with a bed that exceeds every hotel. Antonio was so helpful with everything we did and he had great recommendations. The flat is located really well: quiet, but still in the heart of Lapa/ Santa Teresa. It's easy to reach the beaches by metro.",1
92477,Had a nice stay. Apartment was clean and very nice.,1
77153,Amazing view! Ideal location from the beach with nice restaurants and gym nearby. I will definitely stay here again.,1
15154,This is my 2nd time staying at Silvia's apartment.  Her and her husband provide excellent service and are very good a communicating prior to checking-in and during the stay.  They are available with advice and tips for Rio and handle any questions or issues quickly.  This was my 5th time to Rio and I can tell you that the apartment is optimally located about a 3 minute walk from the beach and it's directly across the street from one of the only 24hr supermarkets in Rio.  The apartment is excellent and is convenient and safe. I would recommend this apartment to my friends and I will likely stay here again when I come back to Rio. ,1
53372,Great place and best location in Rio. Convenient hand off for the key with the doorman.,1
292486,"Loved it (Website hidden by Airbnb) was warmly welcomed, caring and home-feeling atmosphere. Easy and fast communication. Top Location! Loved it! If you get the possibility, try Feijao made by Vitoria - it's honestly the best Feijao I have eaten in whole Rio de Janeiro!",1
6142,"Really perfect! 
I really had a perfect stay in Lucia's house, which is very clean. I felt there total hospitality. Lucia and her family are such special hosts. They are always friendly, reliable, honest, flexible, generous, open-hearted and minded, lovely and last but not least extremely funny.
In case of questions or problems – no problem to ask everyone in the family. They help as much as they can. Besides they try everything to make you feel comfortable. Their advices and recommendations valid as gold, means that they are very useful.
Moreover Lucia took off a day from work to spend it with two other guests (greetings to Lorena and Catalina!) and me to show us visitors the city. It was an amazing day I never forget.
Though Marechal-Hermes is a litte bit far from the centre, there run busses and trains, which bring you easily to where you like to go. I even had so funny times in the train, you can't imagine.
I can easily recommend Lucia as host. You will not regret. I like to travel some more places in Brazil, not just Rio de Janeiro. But I would truly need to return to Rio de Janeiro, just because I love to see Lucia, family and friends again.
Lucia, I thank you (and your family) very much!",1
22216,"We enjoyed our stay at the South Beach Apartments in Copacabana. The location is great - one block away from Porto 4 on Copacabana beach. There are plenty of restaurants close by as well as several grocery stores.

As for the apartment itself - its a cozy size but roomy enough for 2 people.  The bedroom is separate from the living room.  There are 2 balconies - one off the living room and one off the bedroom.  There is cable TV as well as WiFi and a full kitchen (though we didn't use it).   

There is a cleaning service so your apartment is made up every day.  Its not like a typical Airbnb in that sense.  Its also super easy to check in and out as there is a door person who is seemingly very comfortable with Airbnb guests (though they don't speak English like most folks in Rio!). ",1
16001,"Apartment was in a great part of Copacabana, close to restaurants supermarkets and the beach. Building is secure and the neighbourhood was lively but safe. Fred was great with communication and was waiting for us on our arrival and departure. Definitely recommend this apartment.",1
101255,Amazing location near my favourite beach. Super easy communication with Jan. Good value for money.,1
30032,"Ivo greeted us in the apartment even after we showed up an hour late. He was very kind, giving us all of the information we needed about the building as well as things to do in Rio and what buses/metros to take to get there. He spoke with us in Spanish which was very accommodating. ",1
11379,"Fabio and Andrea are amazing hosts and we couldn't have asked for better. This was our first time staying with a host in there apartment (and we were a little skeptical at first) and these guys made it perfect. They went out of there way to make us feel comfortable and invited. We stayed during the carnival and not only did they suggest the best blocks (street carnaval parties), local attractions and restaurants but also showed us around with the local perspective. We didn't know the local language but they being around, actively responding and helping us through messages made our trip awesome.The location of the apartment is central and safe (opposite a metro station, shopping complex opposite and beach 4 blocks away). Last but not the least we started our trip staying with strangers but left with a feeling of leaving friends behind in Rio. Very strongly recommended!",1
80263,A wonderful cozy apartment situated a block away from Posto 9 in a very smart neighbourhood.,1
98020,"Gustavo was an excellent host. his apartment was extremely clean and the location was perfect. he greeted us personally when we arrived and was as nice as can be. he was always very communicative whenever i sent him a message through the airbnb site.

the apartment itself is very modern and very very clean. all the amenities are exactly as listed in the airbnb listing. if you're looking for a clean, modern space to spend your days in ipanema, then this is a great place!",1
67529,"Great ubication!!!!
Pretty close from Siqueira Campos metro station and copacabana beach.
Regarding the apartment is good. All is working and clean.
Renata and Alexander always be in contact, Before and during the stay. 
Giving tips and taking care of all.",1
35134,This apartment was fantastic for our one week stay in Rio! It was very comfortable and Lucas was incredibly helpful in every step from check-in to check-out. It's super close to beach as well as great restaurants and even a grocery store! We would definitely stay here again and recommend it to our friends too! ,1
31747,"Lovely, tidy and convenient place, with a reasonable price. But the street downstairs is a busy one, it's quite noisy during the night. Also, the shower is not hot enough. Generally, I recommend this place. ",1
102530,"Beatriz is a great host!  This is a wonderful apartment in a great neighborhood close to restaurants and bakeries, which is located two blocks from the Atlantic Ocean!  Bring yourself, some sunblock, rent a chair & umbrella and enjoy a coconut water and some ""caipirinha"" at the Ipanema beach!!!  Have fun!!  We had plenty ;)",1
46679,"Great experience.  Francisco was waiting for us when we arrived and is a really nice person.  Area is definitely safe, close to the beach and just a great overall location.  Views are perfect.  ",1
86337,"Pedro was a wonderful, gracious host. He made us feel very welcome at his apartment in Rio.  He was very responsive to our messages and met us promptly both to give us the key and handle our departure.  I would 100% recommend staying at one of Pedro's listings.",1
59876,"Everything was great. My host was very attentive to my needs and left a map and restaurant recommendations

The location is excellent just a few minutes from the beach and less than 2 blocks from the subway station.

Plenty of linens, towels, and lost of space. if you want to stay in Copacabana this is an excellent choice",1
53477,"The apartment is very comfortable and in the best location in Rio! We had a good time.  And alline was very very nice and helpful,  and she was available all the time,  thank you very much!",1
284222,Nice and clean apartment! Very satisfied with everything from check in to check out! I recommend this apartment! Nice location ,1
120300,It's great place to stay if you speak Portuguese.  ,1
107275,"Had an amazing experience at Marina’s place. The location was excellent. Steps away from the beach, bars, market, and great places to dine. From the photos I thought the place would be a bit smaller, but it’s roomy and inviting. I had no issues whatsoever. No power outages or issues with appliances. Everything works. 

Rio was hit with heavy rainfall during my stay and I still had no issues. So if amuos looking for a lovely place to stay in Ipanema/Copacabana,  I’d highly recommend Marina’s place. It’s perfect for two.",1
215599,Great customer service and place!,1
258964,"The location of the flat was amazing - just next to Osorio Metro station. The flat is protected by security. It is very spacious, and well equipped. If I come to Rio next time, I ll definetly stay here again",1
258062,"Great stay, and the host family were very friendly and nice.",1
97837,Bea's apartment is located in a bucolic area in Copacabana. The studio is nicely decorated and a short walk to the beach and Lagoa. I would definitely recommend it to travelers planning a trip to Rio. Thanks Bea!,1
80621,Great stay,1
209487,Great location. Close to everything. Poor furniture quality. Kitchen is poorly equipped.,1
117091,The host was very nice and the location is great right next to the subway and near very good night spots ,1
90145,"Both Luiz and Salete were wonderful hosts. Friendly welcome, always thoughtful and willing to help. The apartment is modern, stylish and the location is absolutely amazing; right in the heart of Ipanema. Little details such as chocolates on the bed, or a breeze blocker in front of the AC unit made a difference. And to top it off, I travel quite a lot and experience so many different mattresses and beds; this was the most comfortable I experienced.",1
75522,"We where 2 friends in the apartment and had a lovely stay.
The location is nice and quiet and still close to the beach.",1
16461,"As always, great people and excellent location. Adepta is a highly recommended hostel and Paolla a fantastic hostess.",1
131877,"Awesome location, great little haven to come home to after spending time in this amazing city",1
186464,"Very nice man! Very warm welcome! First thing when we arrived Sergio show us our room which was lovely, big bedroom and big bathroom with amazing huge shower! 
After that he pull up map of Rio de Janeiro and show was where to go and visit and also more important told us where not to go (unsafe Rio) 
Sério give us great tips about the city and city night live including great restaurants, pubs, around his place.",1
129891,"
Adriana is a fantastic host and her apartment is well-situated, secluded and cozy with spacious bath- and bedrooms. Should we come back to Rio we would choose Adriana's apartment again any day of the week. ",1
126541,I loved staying at the apartment! It is cozy and great location,1
21891,"Our stay at Claudia's place has been amazing, the apartment is perfectly located and fully equipped. Claudia stayed in contact with us throughout the entire time, helped us with everything we needed and even sent us recommendations for things to do, by her own initiation. Would highly recommend! ",1
154552,"We‘ve has a wonderful stay at her airbnb, Claudia is a very lovely and caring host! Gave us lots of tips for nice spots in Rio, we recommend her 100%!!",1
295981,"The property's location is perfect, close to everything. The apartment was super clean and Edu made sure to check every now and then if anything was needed . He was super helpful in giving directions how to reach and how to move around in the area. 
I would definitely stay there the next time i visit Rio.",1
124048,"Pablo and Gloria are great hosts. The house is beautiful, clean and organized and the bedrooms are very cozy. It's the third time I stayed with them (they're always improving the house)  and I definitely recommend them to any guests who are looking for a quiet and confortable place in Rio.",1
58834,Perfect place. I would definitely be back!,1
9882,"We stayed at Fabios place for a couple of days and fully enjoyed the super clean and well located apartment. Right in front  is a bus stop with connections to any touristy place in Rio. We found it a really good base in Copacabana to explore the wonderful city. The beach is a short walk and can be seen from the window. The apartment is really good equipped with new appliances and has everything you need. The building has 24 hours security and is very safe. 
Fabio is the perfect host. He was easy to deal with and answered very quickly to all our questions. On top of that he gave us good tips on things to do while we were there. When we arrived he was awaiting us as agreed in the apartment and introduced us to everything. Another day I had to print some stuff which he did for me and brought it the the apartment. Great guy.

Just a perfect place to stay in Rio. We loved Rio so much that we will definitly return and stay again at Fabios place if possible.

Highly recommended.",1
43666,Great place,1
27637,Monica's place is fantastic!  Close to both Copacabana and Ipanema.  Metro at the front door.  A quiet street with everything you need a few minutes away.  The apartment itself had everything i needed. The bathroom very modern.  The bed was comfortable. Monica was there when i arrived and gave me helpful information about the area.  Monica was always available to answer any question i had.  I would stay here again if i come back to Rio.,1
29752,"Haydee is a very friendly, open and helpful host.
We loved her airbnb's location and her 5 cats. 
The room and bathroom are neat and communication with Haydee was always smooth. We would stay with her again.",1
106526,Kai and his wife are good hosts. They have good communication and Kai sent me messages whenever I needed his help. I was feeling like in my house!,1
195489,"I've stayed here before and I really like this location and the spaciousness of the apartment. You'll like the place very much. Everything worked and I'll definitely stay again. Only problem is there were repairs being made to another apartment and it was impossible to escape the noise from the hammering, drilling, and plastering between 8:30 AM - 4pm. Regardless, I was happy with my stay.",1
243195,Thanks for having me. Great place I would come back,1
70667,"Amazing stay in Rio thanks also to this flat!!! The flat is very well located, in the heart of Ipanema, 1 block from the lagoon, 4 blocks from the beach, not far from lots of many shops and restaurant.
The appartment is really well decorated, very colourful, with all the amenities you need. Perfect for couple or 2 persons. There is always a portier at the entrance although the neighborhood is safe. Wi-fi is going fast. Air-con is also working well.
Everything was perfect! 
Leonardo and Archanjo are very friendly, they greeted us so nicely and they speak English! They gave us some places to go to eat and when I emailed Leonardo he always answered straight away!
We left but we already want to come back to this place!!!",1
7967,"It was a great flat in a really ha day location and Karina was super helpful & friendly. 
Thanks! ",1
18132,"Me and friend had a wonderful time at Mark's place. It was clean, well situated, very convenient to all the activities in Ipanema. Also the host was very helpful and very good in communicating with me.",1
121587,"Very well located, close walk to Lapa but set on a quiet street up towards santa Teresa. The house is very secure, there are three sets of locks before you get into the main living room. Bed is big and room is spacious. Bathroom is shared with another room. Antonio is very accommodating- we got sick on our trip and he moved us into another of his rooms with a private bathroom. All in all, a good value place to stay for Rio close to the action.",1
101082,"Great place. Great area, close to everything. Hosts were always available and willing to help. I had a great time.",1
124606,GREAT location 2 blocks from the Ipanema beach and Metro station. Adriano is an experienced host.,1
200557,"We stayed at Ana's Appartment for 10 days. It's just perfect and located in the best area. So many restaurants, bars and just across from the beach, with great running track. 
Ana was so helpful and told us all the best places to visit in the botafogo area. I'll highly recommend. ",1
137395,"Pedro and his father were very kind, helpful and available making our trip to rio very convenient and easy.
The flat is roomy as pictured in the photos
Thank you very much",1
6474,The place was very clean and modern. The location was very convenient and Alex was a great host. Couldn't ask for more. ,1
4173,"Went to rio for carnival and stayed at Claudios flat. Everything was better than expected. He is probably one of the most hospitable people I've met.  He brought us food for breakfast, invited us to events he was attending, and even showed us around the city a bit.  Room and bathroom were clean and the air conditioning worked well. Great location downtown close to the metro. I highly recommend staying with Claudio.",1
77439,"Erica's place is very well located in Copacabana. Straight from the airport (15min, ~25$R), closed to the beach, restaurants, bars, a bus is available for Ipanema and the Corcovado. The unit is well equipped, every I need was here. Very pleasant stay.",1
104322,My stay in Rio is always a good .     The accommodations with the apartment was very accurate with the description in the listing . Denise was very helpful with recommendations of restaurants and things to do. The apartment is very clean with a  secure building.    The neighborhood is very warm and friendly.    I definitely recommend your apartment to anyone who is visiting Rio for safe and enjoyable time,1
1106,"The apartment was perfect, with everything we needed and in a fantastic location with a view of Copacabana beach (the beach is literally just down the road), close to Ipanema too, and a couple of streets from a Metro stop. We generally felt safe throughout our stay too. Patricia and Paulo were perfect hosts, staying in contact from the time we booked, providing useful information and tips and always being very quick to respond to messages. Extra touches such as drinks in the fridge when we arrived and booking a special rate taxi to the airport on departure were greatly appreciated as well.  This all helped make for a fantastic holiday in what is a really stunning city.  Hugely recommended. ",1
117525,Very pleasant stay!Very clean appartment in a very good and safe neighborhood. Vania is also a very nice host - seh welcomed us very warmly and gave lots of recommendations for the whole city...We would vertrinkt stay there again.,1
127903,"Nice location, very clean place, great water pressure and very good hot water, easy check in and key collection at front desk. We had a lovely stay. Thank you.",1
130098,Clean spacious apartment with a beautiful view of downtown and the Sugarloaf Mountain.  Situated in a relatively safe neighborhood with charming cobble stone streets.,1
87754,"Great location, in Leblon area which is quiet, full of nice restaurants, very close to the beach. Spacious flat for two people, with air con, very (Email hidden by Airbnb) munication with Marilia was very easy even though our flight in was very late and our flight out very early. Highly recommended.",1
79413,Excellent place to stay. Amazing Leblon near everything!! Good host. Recomended 100%.,1
135022,"The flat is fantastically located, near the beach and the metro. It is big for a studio, and very clean. Fernanda is an efficient, hands-off hostess, who replied to all my emails quickly. Alhtough the flat is light and airy, the public corridors and stairs are really run-down and not the cleanest, so the first impression one has is not great, but it is (in spite of appearances) a great place to stay. The one real problem I found in the flat was the window: it is an extremely heavy metal sash window, which requires someone really strong to open. It is also very difficult to control how much you open it. If you like aircon you will be fine, but I love fresh air and was there at a time of year when the temperature outside was a bliss, so I nearly got hurt trying to keep the window open. Fernanda was sympathetic and explained she will change the window when she can find some money to do it. Other than that it is a fantastic studio in a perfect location, very near the metro and two bocks from the beach. There are plenty of restaurants and cafes around, a good bakery and a supermarket.",1
23684,"I booked Marcelo's place last minute on my way to Rio and glad I did. He accepted almost instantly and was extremely accommodating. Locating and entering the building and apartment was a breeze. The flat is as described/pictured and even better upon arrival. Very clean and updated space in the heart of Copa with any and all necessities within a 5min walk, beach included. I highly recommend this place and will definitely rent it again. ",1
226034,"I really enjoyed staying at this place. If you wanna try staying in a favela (to have a local experience) then this is the place guys. It is a safe place to stay with a police booth right in the middle of the favela. Beautiful view of the ocean. You have to hike a bit and take stairs. If not, motobikes are available to give you a ride. Close to leme and Copacaba beaches. Thank you host :-)",1
224148,Apt situated in a very nice part of Ipanema - super comfortable - easy to find - friendly - reception very available at any time - in a few word: FANTASTIC!!!,1
242903,"I just LOVED my stay at Fabio and Fernanda's place. The room is comfy, the bathroom clean and functiunal, with enough privacy. The situation is perfect (in front of the park, 5min from the beach, 5min to the Catete metro station) in one of the best neighbourgh of Rio, the flat is super clean, you can cook, wash your clothes and enjoy the court ! 
On the top of that, the hosts are incredibly kind and helpful, Fabio will give you good tips about the city, and it's always a pleasure to discuss with them",1
55493,Wonderful stay. Lovely place.. Great neighborhood felt very safe with lots of restaurants near by.,1
101933,Best location cops cabana,1
3804,"Can’t imagine a better view in the world. Honestly, no exaggeration!",1
46207,Good stay next to the metro. I was not able to meet the owner Michael but I have a pleasant stay. Thank you. ,1
167783,"Great place to stay - and fantastic host, thank you !",1
230561,Cozy place with a cool terrace where you can chill after day of sunbathing. Walkable distance to beach and shops and restaurants. Bibi with great Acai bowl just around the corner. Alan together with his mother are great hosts. They have even prepared us a breakfast every morning. It was really nice. Totally recommend.,1
101717,"A complete haven. The layout and design of Paola and Jeju's space is impeccable including the well appointed furniture. It's a great perk that the apartment is an elevator building with on site super and maintenance. And the location couldn't have been better, very easy to get around from and go for strolls. 

Thanks again and again! ",1
79695,"Maria and Carlos were at the apartment to greet my wife and I.  They were both very nice and welcoming.  The apartment was clean and just as described.  It is small, but perfect for a couple.  The location was great as it is only 2 blocks from Copacabana beach and 5 blocks from the Siqueira Campos metro station which we used a lot to access the Olympic venues.  The building had a doorman from early in the morning until 10pm and the building has a locked outer gate, locked inner door (at night), and of course the apartment door.  Security was not an issue.  I highly recommend Maria's apartment as the price is great, the location is even better, and Maria and Carlos are as nice as can be.   
",1
21538,"I enjoyed staying in this apartment. It has a strategic location near Copacabana beach with walking distance to Botafogo and Sugarloaf. There are several supermarkets and restaurants nearby. Bus stop with connections to Corcovado, Airport, Lapa, etc. is almost in front of the building entrance.",1
47530,Fantastic location in centre of the action of Lapa. Apartment is well set up and equipped. A few issues with wifi but Dejanira responded very quickly and had technician there next day.,1
241870,"Great place, very quiet neighborhood, very professional hosts",1
11439,"The room is conveniently located in copacabana, near the beach and the metro. The kitchen is well equipped and with fairly new appliances. Bob is a kind and helpful host. Overall, a very good experience.",1
9559,"Gui & Thea's place is a very nice, cozy flat in the fine and elegant neighbourhood of Leblon! Very nice details in the appartment will ensure a guaranteed nice stay at this place! Very nice!",1
118414,"Perfect location- quiet, beautiful central street so close to the beach with easy access to buses and metro. 
Hosts were amazing- friendly, welcoming, helpful and kind, and made us feel so at home.
Room was small and basic but perfectly adequate, and flat was clean and well looked after: 
All in all a really great experience :) ",1
18318,"We had a great stay at Jeanne's! The apartment is very charming and safe, with an amazing view and a relaxing sound of the waves. Jeanne was a great host and provided all needed. The location is quiet and secluded though a bit south of central Leblon, so about a 15 min walk to more central restaurants, shops, and the metro. A great place for some R&R and a short walk to the beach!",1
203109,"Cybelle is an AMAZING host. We were visiting Rio for carnival and did not have enough time to pick up our carnival tickets. We were worried and unsure about how to handle the ticket pick up/delivery process. Cybelle went above and beyond to help us. She helped us translate the process, fill out forms and picked up our tickets for us. Once we arrived at the apartment, she was waiting with everything needed in order to just drop off our things and head straight to the parade.

I cannot express how appreciative we were. She even had detailed directions to carnival and weather in Rio printed out for us once we arrived. She was also very accommodating with late check out.

I highly recommend Cybelle and her apartment! Thank you Cybelle!",1
115301,"Villa Sofia is a dream. Comfortable, clean and easy to settle into as you listen to the sounds of the neighborhood drift across the courtyard. We pretty much had the place to ourselves during our stay. The location is unbeatable if you want to get away from the main areas in Rio (and even if you want get away from the main areas in Santa Teresa!). It wasn’t our first visit to Rio and we were happy to find how close the house is to a few bus routes and a supermarket. The best bar is just down the street and of course you’re close to all the popular spots in Santa Teresa. Though we didn’t meet in person, Anna’s communication was quick, clear, and always helpful. The home is tastefully decorated with a great little library and lots of room to read, write, eat, and take life easy.",1
77859,Great spot! Recommend to anyone looking to stay for a short or long stay!,1
168776,"Everything was great! They are very nice people who will always help, the apartment is very clean and beautiful. Thank you",1
160829,"An amazing, colorful and playful house in the middle of the vibrant Santa Teresa neighborhood. The place was clean and tidy with a great view of the city right there from the swimming pool! But that wasn't even the best part, that credit goes to our great hosts. We really felt like home, Ion and his wife did everything to help us get the best Rio experience in the few days we were there, even taking us for a tour of the surrounding area. Strongly recommended!",1
163371,"Thanks for All Elaine  and your home , we were great experience ",1
261363,Amazing location and super comfortable space! Everything you need for a short or extended stay.,1
9839,"Location location location.  Fernanda’s apartment is excellently located 2.5 blocks from the beach.  24/7 very large supermarket, ATMs and pharmacies are around the block, the metro station is 4 blacks away, all major bus lines stop within two blocks, very good bars and restaurants are all within walking distance including a “Subway” sandwich store.  Returning from a downtown disco one late night (early morning) we asked the taxi driver to take us to a good place to eat good food, anyplace would do.  He took us to Cervantes, incredibly just a few steps away from the apartment!   A major shopping center is a fifteen-minute walk . 

The apartment is fully equipped, plenty of towels, sheets, hangers in the closet, all the necessary cooking utensils, large brand new fridge, clothes washer, etc.  The shower is strong and the gas-powered heater provides endless hot water.  The free high-speed internet is a definite plus and, if you come from the U.S., the possibility to call home at no added expense is also a welcome bonus.

The only downside we could find is that the sunlight shines right onto the bed very early in the morning.  A “blackout” would have helped.  This was my first experience with Airbnb.  Airbnb’s professional pictures also makes the apartment look larger than it really is, but I guess that is the same with the other listed apartments (see https://www.airbnb.com/info/photography).  A coffee table which appears in one of the pictures was stored above the closet and for space-sake, we kept it there.

Overall, we found Fernanda to be a terrific host and answered all of our e-mailed questions within a couple of hours.  Having lived in Rio as a kid I did not really have to rely on her too much but I’m sure she would have been an excellent tourist guide as well (she e-mailed me a list of must-see attractions).  Definitely recommendable!
",1
117269,Miriam is an excellent host. She is very helpful and her hospitality is beyond expectations. Staying at her apartment would make you feel like home.,1
88569,We just loved getting to know Santa Teresa and Fabio!  The apartment was a great place for our first encounter with Rio and the World Cup.  Fabio was a gracious and friendly host. We would certainly stay in his place again!,1
131489,"Great entire apartment for travellers and business people alike. We felt safe and enjoyed this home thoroughly. There was coffee and filtered water, we especially enjoyed having a washing machine! The beds were very comfortable and great shower! Absolutely recommend this home to anyone. Enjoy!",1
282684,This is really an amazing room expecially for USD 19 Per night,1
92903,"We had an amazing time in Rio for the Olympics. Patricia's apartment is in a great location. Walking distance to both Copabana and Ipanema beaches, and 5 min walk to the subway. It was nice to be set back from the beach a bit, the jungle surrounding was serene and beautiful. Patricia met us when we arrived, and allowed us to stay late on our last day. Loved having breakfast on the balcony. Security was excellent, 24hr doorman. We felt safe walking home. Our favorite restaurants (Patricia's recommendations) were O'Caranguejo (Copa) and Zaza (Ipanema). ",1
